metric,observations,termRange,sourceKeys,rawMin,p05,median,p95,rawMax
administrativeLawRate,79,1946-2024,scdb-modern-2025-01,0.068,0.086,0.234,0.397,0.416
applicationsTotal_courtDecided,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,1565.000,1565.000,1565.000,1565.000,1565.000
ca_scc_leaveGrantRate_submitted,1,2024,supreme-court-simulator-litigation-pipeline-incentives,0.064,0.064,0.064,0.064,0.064
canada_override_duration_years,1,stable,cross-national-calibration-targets,5.000,5.000,5.000,5.000,5.000
canada_override_expiryWindow,1,current constitutional rule,supreme-court-simulator-institutional-design-and-empirical-anchors,5.000,5.000,5.000,5.000,5.000
capitalApplications_total,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,945.000,945.000,945.000,945.000,945.000
caseStudyCompliantClassificationComposition_salientEnvironmentalCases,1,2006-2023,gurganus-2025-environmental-agency-implementation,0.800,0.800,0.800,0.800,0.800
caseStudyCompliantClassificationIndicator_massachusetts-v-epa-2007,1,2007,gurganus-2025-environmental-agency-implementation,1.000,1.000,1.000,1.000,1.000
caseStudyCompliantClassificationIndicator_michigan-v-epa-2015,1,2015,gurganus-2025-environmental-agency-implementation,1.000,1.000,1.000,1.000,1.000
caseStudyCompliantClassificationIndicator_rapanos-v-united-states-2006,1,2006,gurganus-2025-environmental-agency-implementation,0.000,0.000,0.000,0.000,0.000
caseStudyCompliantClassificationIndicator_sackett-v-epa-2023,1,2023,gurganus-2025-environmental-agency-implementation,1.000,1.000,1.000,1.000,1.000
caseStudyCompliantClassificationIndicator_utility-air-regulatory-group-v-epa-2014,1,2014,gurganus-2025-environmental-agency-implementation,1.000,1.000,1.000,1.000,1.000
caseStudyNarrowComplianceClassificationComposition_salientEnvironmentalCases,1,2006-2023,gurganus-2025-environmental-agency-implementation,0.200,0.200,0.200,0.200,0.200
caseStudyNarrowComplianceClassificationIndicator_massachusetts-v-epa-2007,1,2007,gurganus-2025-environmental-agency-implementation,0.000,0.000,0.000,0.000,0.000
caseStudyNarrowComplianceClassificationIndicator_michigan-v-epa-2015,1,2015,gurganus-2025-environmental-agency-implementation,0.000,0.000,0.000,0.000,0.000
caseStudyNarrowComplianceClassificationIndicator_rapanos-v-united-states-2006,1,2006,gurganus-2025-environmental-agency-implementation,1.000,1.000,1.000,1.000,1.000
caseStudyNarrowComplianceClassificationIndicator_sackett-v-epa-2023,1,2023,gurganus-2025-environmental-agency-implementation,0.000,0.000,0.000,0.000,0.000
caseStudyNarrowComplianceClassificationIndicator_utility-air-regulatory-group-v-epa-2014,1,2014,gurganus-2025-environmental-agency-implementation,0.000,0.000,0.000,0.000,0.000
certGrantRateAfterCFR_ifp,1,OT2001–OT2004,supreme-court-simulator-calibration-targets,0.030,0.030,0.030,0.030,0.030
certGrantRateAfterCFR_paid,1,OT2001–OT2004,supreme-court-simulator-calibration-targets,0.169,0.169,0.169,0.169,0.169
certStageAmicusPresenceRate,2,OT2023-OT2024,scotus-certiorari-docketed-cohort-ot2023;scotus-certiorari-docketed-cohort-ot2024,0.076,0.076,0.080,0.085,0.085
certiorariGrantRate_docketedCohort,2,OT2023-OT2024,scotus-certiorari-docketed-cohort-ot2023;scotus-certiorari-docketed-cohort-ot2024,0.031,0.031,0.032,0.033,0.033
cfrRate_ifp,3,OT2001–OT2004-OT2024,supreme-court-simulator-calibration-targets;scotus-certiorari-docketed-cohort-ot2023;scotus-certiorari-docketed-cohort-ot2024,0.020,0.021,0.026,0.031,0.031
cfrRate_paid,3,OT2001–OT2004-OT2024,supreme-court-simulator-calibration-targets;scotus-certiorari-docketed-cohort-ot2023;scotus-certiorari-docketed-cohort-ot2024,0.047,0.055,0.126,0.144,0.146
civil_disposition_days_eu_median_first_instance,1,2022,institutional-cost-delay-complexity-benchmarks,239.000,239.000,239.000,239.000,239.000
comparativeConstitutionalComplianceCoverage,1,1900–2020,supreme-court-simulator-institutional-design-evidence,175.000,175.000,175.000,175.000,175.000
complaw_courts_covered,1,2024_release,cross-national-calibration-targets,42.000,42.000,42.000,42.000,42.000
complexity_appointment_actor_count_germany,1,stable,institutional-cost-delay-complexity-benchmarks,2.000,2.000,2.000,2.000,2.000
complexity_appointment_actor_count_italy,1,stable,institutional-cost-delay-complexity-benchmarks,3.000,3.000,3.000,3.000,3.000
complexity_appointment_actor_count_spain,1,stable,institutional-cost-delay-complexity-benchmarks,4.000,4.000,4.000,4.000,4.000
complexity_panel_layers_germany,1,stable,institutional-cost-delay-complexity-benchmarks,2.000,2.000,2.000,2.000,2.000
complexity_panel_layers_korea,1,stable,institutional-cost-delay-complexity-benchmarks,2.000,2.000,2.000,2.000,2.000
conflictResolutionMeanYears_coaSample,1,conflicts born 2005+ within 2005–2013 study window,supreme-court-simulator-calibration-targets,1.500,1.500,1.500,1.500,1.500
conflictResolutionMeanYears_scotusSample,1,conflicts born 2005+ within 2005–2012/2013 study window,supreme-court-simulator-calibration-targets,1.200,1.200,1.200,1.200,1.200
conflictUnresolvedShare_sample,1,conflicts born 2005+ within 2005–2013 study window,supreme-court-simulator-calibration-targets,0.900,0.900,0.900,0.900,0.900
constitutionalComplaintShare_longRun,1,1951–2018,supreme-court-simulator-calibration-targets,0.966,0.966,0.966,0.966,0.966
costaRicaMeanMonthsToCompliance,1,monitored cases after monitoring program launch in 2009,supreme-court-simulator-institutional-design-evidence,8.100,8.100,8.100,8.100,8.100
costaRicaOrdersTrackedShare,1,orders issued Oct. 2009–Mar. 25 2013; status as of May 2 2013,supreme-court-simulator-institutional-design-evidence,0.973,0.973,0.973,0.973,0.973
costaRicaPublicityAccelerationMonths,1,around March–April 2010 press-conference intervention,supreme-court-simulator-institutional-design-evidence,2.000,2.000,2.000,2.000,2.000
courtFollowsSGRecommendation,1,1994–2004,supreme-court-simulator-calibration-targets,0.796,0.796,0.796,0.796,0.796
cvsgFrequency,1,1994–2004,supreme-court-simulator-calibration-targets,11.000,11.000,11.000,11.000,11.000
cvsgGrantRate_recent,1,OT2001–OT2004,supreme-court-simulator-calibration-targets,0.390,0.390,0.390,0.390,0.390
cvsgRequestRate,2,OT2023-OT2024,scotus-certiorari-docketed-cohort-ot2023;scotus-certiorari-docketed-cohort-ot2024,0.002,0.003,0.004,0.005,0.005
de_bverfg_constitutionalComplaint_completionToIntake,1,2024,supreme-court-simulator-litigation-pipeline-incentives,1.060,1.060,1.060,1.060,1.060
de_bverfg_constitutionalComplaint_intake,1,2024,supreme-court-simulator-litigation-pipeline-incentives,3433.000,3433.000,3433.000,3433.000,3433.000
de_bverfg_cumulativeConstitutionalComplaints,1,1951 to 2024,supreme-court-simulator-litigation-pipeline-incentives,252000.000,252000.000,252000.000,252000.000,252000.000
districtCourtAlignmentShockSameDirectionPP,1,lower-court cases filed before and resolved after higher-court decisions; article published 2023,supreme-court-simulator-institutional-design-evidence,0.330,0.330,0.330,0.330,0.330
echrClosedLeadingCases2025,1,2025,supreme-court-simulator-institutional-design-evidence,194.000,194.000,194.000,194.000,194.000
echrEnforcementDomesticJudgmentsThemeShare,1,2025,supreme-court-simulator-institutional-design-evidence,0.040,0.040,0.040,0.040,0.040
echrNonExecutedLeadingCasesDatasetN,1,2012–2020,supreme-court-simulator-institutional-design-evidence,971.000,971.000,971.000,971.000,971.000
echrNonExecutionFeatureCount,1,2012–2020,supreme-court-simulator-institutional-design-evidence,232.000,232.000,232.000,232.000,232.000
echrPendingLeadingCasesOver5YearsShare,1,end of 2025,supreme-court-simulator-institutional-design-evidence,0.453,0.453,0.453,0.453,0.453
echrPendingLeadingCasesTotal,1,end of 2025,supreme-court-simulator-institutional-design-evidence,1162.000,1162.000,1162.000,1162.000,1162.000
echr_allocatedPending_stockChange,1,2024,supreme-court-simulator-litigation-pipeline-incentives,-8100.000,-8100.000,-8100.000,-8100.000,-8100.000
echr_inadmissibleOrStruckOut_count,1,2024,supreme-court-simulator-litigation-pipeline-incentives,25990.000,25990.000,25990.000,25990.000,25990.000
echr_singleJudge_disposals,1,2024,supreme-court-simulator-litigation-pipeline-incentives,22210.000,22210.000,22210.000,22210.000,22210.000
economicRegulationRate,79,1946-2024,scdb-modern-2025-01,0.092,0.117,0.194,0.323,0.379
emergencyOrderRate,22,2003-2024,shadow-docket-v2-0,0.011,0.031,0.100,0.225,0.323
emergencyStayDocketRate,32,1993-2024,shadow-docket-v2-0,0.000,0.000,0.006,0.013,0.023
ex_ante_vs_ex_post_strike_odds_ratio_nine_courts,1,2002-2003 law cohort,cross-national-calibration-targets,2.060,2.060,2.060,2.060,2.060
ex_ante_vs_ex_post_strike_odds_ratio_seven_courts,1,2002-2003 law cohort,cross-national-calibration-targets,2.310,2.310,2.310,2.310,2.310
federalAgencyImplementationSampleN,1,1953–1990 Terms,supreme-court-simulator-institutional-design-evidence,220.000,220.000,220.000,220.000,220.000
federalAgencyNarrowComplianceShare,1,1953–1990 Terms,supreme-court-simulator-institutional-design-evidence,0.068,0.068,0.068,0.068,0.068
fr_qpc_associationRaised_count,1,2010-2018,supreme-court-simulator-litigation-pipeline-incentives,52.000,52.000,52.000,52.000,52.000
