sourceName,sourceUrl,files,sections,rowCount,validationUses,confidenceLevels,comparabilityClasses
2024 Annual Report Federal Constitutional Court,https://www.bundesverfassungsgericht.de/SharedDocs/Downloads/EN/Jahresbericht/jahresbericht_2024.pdf?__blob=publicationFile&v=4,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,strict_validation,high,benchmark_or_constraint
2024 Year End Report on the Federal Judiciary,https://www.supremecourt.gov/publicinfo/year-end/2024year-endreport.pdf,lower-court-intake-calibration.csv,Lower-court and intake calibration,3,strict_validation,high,benchmark_or_constraint
Annuario 2024 - Un anno in cifre,https://www.cortecostituzionale.it/annuario2024/un-anno-in-cifre.html,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,strict_validation,high,benchmark_or_constraint
CEPEJ 2022 press release,https://rm.coe.int/cepej-evaluation-report-2022-press-release-en/1680a858e7,institutional-cost-delay-complexity-benchmarks.csv,"Institutional budget, delay, and complexity benchmarks",1,loose_calibration,high,benchmark_or_constraint
CEPEJ 2024 presentation,https://rm.coe.int/cepej-presentation-main-trends-2024-report-jasa-vrabec-without-notes/1680b1f9d4,institutional-cost-delay-complexity-benchmarks.csv,"Institutional budget, delay, and complexity benchmarks",1,loose_calibration,high,benchmark_or_constraint
CEPEJ Germany 2024/2022,https://rm.coe.int/germany/1680b1df68,institutional-cost-delay-complexity-benchmarks.csv,"Institutional budget, delay, and complexity benchmarks",1,loose_calibration,high,benchmark_or_constraint
CEPEJ Italy 2024/2022,https://rm.coe.int/italy/1680b1df6e,institutional-cost-delay-complexity-benchmarks.csv,"Institutional budget, delay, and complexity benchmarks",3,loose_calibration,high,benchmark_or_constraint
CEPEJ study on judicial systems in EU member states,https://rm.coe.int/spain-eu-scoreboard-country-fiches-2022-data/1680b06604,institutional-cost-delay-complexity-benchmarks.csv,"Institutional budget, delay, and complexity benchmarks",1,loose_calibration,high,benchmark_or_constraint
CompLaw article,https://www.cambridge.org/core/journals/journal-of-law-and-courts/article/complaw-a-coding-protocol-and-database-for-the-comparative-study-of-judicial-review/5685D3D3909A911C7DDB9CD6F160D821,cross-national-calibration-targets.csv,Cross-national calibration targets,4,loose_calibration;paper_only_context,high,behavioral_rate;benchmark_or_constraint;paper_context
Constitutional Court of Korea - Bench and Quorum,https://english.ccourt.go.kr/site/eng/03/10302030000002020081101.jsp,cross-national-calibration-targets.csv;emergency-docket-calibration.csv;institutional-cost-delay-complexity-benchmarks.csv,"Cross-national calibration targets;Emergency docket calibration;Institutional budget, delay, and complexity benchmarks",4,paper_only_context;strict_validation,high,benchmark_or_constraint;binary_procedure_indicator;paper_context
Constitutional Court of Korea - Full Bench,https://english.ccourt.go.kr/site/eng/03/10302030000002020081101.jsp,cross-national-calibration-targets.csv,Cross-national calibration targets,1,strict_validation,high,benchmark_or_constraint
Constitutional Court of Korea official pages,https://english.ccourt.go.kr/site/eng/03/10302030000002020081101.jsp,comparative-court-design-presets.csv,Comparative court design presets,1,paper_only_context,high,design_context
Constitutional Court of Korea statistics,https://english.ccourt.go.kr/site/eng/jurisdiction/caseLoadStatic.do,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,paper_only_context,medium,paper_context
Corte costituzionale official pages,https://www.cortecostituzionale.it/,institutional-cost-delay-complexity-benchmarks.csv,"Institutional budget, delay, and complexity benchmarks",1,paper_only_context,medium,paper_context
Corte costituzionale official pages,https://www.cortecostituzionale.it/annuario2024/un-anno-in-cifre.html,comparative-court-design-presets.csv,Comparative court design presets,1,paper_only_context,high,design_context
Derived from 2024 Year End Report on the Federal Judiciary,https://www.supremecourt.gov/publicinfo/year-end/2024year-endreport.pdf,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,strict_validation,high,behavioral_rate
Derived from Annuario 2024,https://www.cortecostituzionale.it/annuario2024/un-anno-in-cifre.html,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,strict_validation,high,behavioral_rate
Derived from Constitutional Court of Korea statistics,https://english.ccourt.go.kr/site/eng/jurisdiction/caseLoadStatic.do,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,paper_only_context,medium,paper_context
Derived from Memoria 2024 / Nota informativa 1/2025,https://www.tribunalconstitucional.es/NotasDePrensaDocumentos/NP_2025_001/NOTA%20INFORMATIVA%20N%C2%BA%201-2025.pdf,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,strict_validation,high,benchmark_or_constraint
Derived from Nota informativa 1/2025,https://www.tribunalconstitucional.es/NotasDePrensaDocumentos/NP_2025_001/NOTA%20INFORMATIVA%20N%C2%BA%201-2025.pdf,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,strict_validation,high,behavioral_rate
Federal Constitutional Court - Preliminary injunctions,https://www.bundesverfassungsgericht.de/EN/TheFederalConstitutionalCourt/TypesOfProceedings/PreliminaryInjunctions/preliminaryinjunctions_node.html,emergency-docket-calibration.csv,Emergency docket calibration,1,strict_validation,high,binary_procedure_indicator
Federal Constitutional Court - Reaching a decision,https://www.bundesverfassungsgericht.de/EN/ConstitutionalComplaint/Reachingadecision/reachingadecision_node.html,emergency-docket-calibration.csv,Emergency docket calibration,1,strict_validation,high,benchmark_or_constraint
Federal Constitutional Court FAQ,https://www.bundesverfassungsgericht.de/EN/TheFederalConstitutionalCourt/FrequentlyAskedQuestions/frequentlyaskedquestions_node.html,cross-national-calibration-targets.csv,Cross-national calibration targets,1,strict_validation,high,benchmark_or_constraint
Federal Constitutional Court official pages,https://www.bundesverfassungsgericht.de/EN/ConstitutionalComplaint/Reachingadecision/reachingadecision_node.html,institutional-cost-delay-complexity-benchmarks.csv,"Institutional budget, delay, and complexity benchmarks",1,paper_only_context,high,paper_context
