metricKey,jurisdiction,timePeriod,lowerBound,upperBound,observedValue,rawObservedValue,numeratorSpec,denominatorSpec,confidenceLevel,validationUse,coverageScope,comparabilityClass,sourceName,sourceUrl,rawSection,reportName,notes
paidPetitionShare,U.S. Supreme Court,OT2023,0.235,0.235,0.235,"23.5% (1,510/6,434)",docketed paid matters,all docketed matters in official term summary,High,strict_validation,official term-level intake,same-court-official-flow,Journal of the Supreme Court,https://www.supremecourt.gov/orders/journal/jnl23.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,"Best current paid/IFP mix input; flow count, not petition cohort."
ifpPetitionShare,U.S. Supreme Court,OT2023,0.765,0.765,0.765,"76.5% (4,924/6,434)",docketed IFP matters,all docketed matters in official term summary,High,strict_validation,official term-level intake,same-court-official-flow,Journal of the Supreme Court,https://www.supremecourt.gov/orders/journal/jnl23.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Use to split intake queues before any grant model.
grantSetForArgumentRate_raw,U.S. Supreme Court,OT2023,0.0096,0.0096,0.0096,"0.96% (62/6,434)",cases granted and set for argument,all docketed matters in term summary,Medium,proxy_context,"same-term flow, not closed petition cohort",same-court-official-flow,Journal of the Supreme Court,https://www.supremecourt.gov/orders/journal/jnl23.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Do not treat as a true petitioner-level cert grant probability without cohort reconstruction.
cfrRate_paid,U.S. Supreme Court,OT2001–OT2004,0.047,0.047,0.047,4.7% (338 paid CFRs),paid petitions receiving a call for response,all paid petitions in OT2001–OT2004 petition-universe dataset,Medium,loose_calibration,petition-universe subset,same-court-petition-universe,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Exact denominator is not printed in the snippet I captured; rate itself is explicit.
cfrRate_ifp,U.S. Supreme Court,OT2001–OT2004,0.02,0.02,0.02,"2.0% (501/24,252)",IFP petitions receiving a call for response,all IFP petitions in dataset,High,strict_validation,petition-universe subset,same-court-petition-universe,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Reliable denominator and useful for paid/IFP stage split.
certGrantRateAfterCFR_paid,U.S. Supreme Court,OT2001–OT2004,0.169,0.169,0.169,16.9% (57/338),grants among paid petitions with CFR,paid petitions with CFR,High,loose_calibration,paid petitions with Court-requested response,same-court-petition-universe,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,"Compare only to paid-petition baseline, not pooled docket."
certGrantRateAfterCFR_ifp,U.S. Supreme Court,OT2001–OT2004,0.03,0.03,0.03,3.0% (15/501),grants among IFP petitions with CFR,IFP petitions with CFR,High,loose_calibration,IFP petitions with Court-requested response,same-court-petition-universe,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Important because CFR has a large multiplicative effect even on IFP cases.
sgVoluntaryResponseRate_USRespondent_paid,U.S. Supreme Court,OT2001–OT2004,0.32,0.32,0.32,32.0% (308/961),paid petitions naming the United States as first respondent in which SG responded voluntarily,all paid petitions naming United States as first respondent,High,strict_validation,U.S.-respondent paid petitions,same-court-petition-universe,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Respondent-specific SG sorting variable.
sgVoluntaryResponseRate_USRespondent_ifp,U.S. Supreme Court,OT2001–OT2004,0.103,0.103,0.103,"10.3% (1,038/10,084)",IFP petitions naming the United States as first respondent in which SG responded voluntarily,all IFP petitions naming United States as first respondent,High,strict_validation,U.S.-respondent IFP petitions,same-court-petition-universe,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Strong evidence against pooling U.S.-respondent paid and IFP cases.
sgResponsePredictiveValue_allFederalRespondents,U.S. Supreme Court,OT2001–OT2004,0.0008,0.021,0.021,"2.1% with SG response (36/1,676) vs 0.08% without (8/10,592)",grants among petitions naming United States/federal instrumentality as respondent with and without SG voluntary response,all such petitions in each response-status bucket,High,loose_calibration,U.S./federal-instrumentality respondent petitions,same-court-petition-universe,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Best clean public SG-sorting effect I found.
cvsgFrequency,U.S. Supreme Court,1994–2004,11,11,11,~11 CVSGs per year,petitions receiving CVSG,years in study period,Medium,loose_calibration,CVSG universe in study,historical-cross-period,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Useful as a low-frequency high-salience state transition.
cvsgGrantRate_recent,U.S. Supreme Court,OT2001–OT2004,0.39,0.39,0.39,39% (22/57),CVSG cases later granted,all CVSG cases in subperiod,High,loose_calibration,CVSG cases,same-court-CVSG-subset,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Better than using the paper’s pooled 34% without visible denominator in my excerpt.
courtFollowsSGRecommendation,U.S. Supreme Court,1994–2004,0.796,0.796,0.796,79.6%,"CVSG cases where SG recommended grant, deny, or GVR and Court matched recommendation",CVSG cases with those recommendation types,Medium,loose_calibration,CVSG recommendation subset,same-court-CVSG-subset,Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,"Numerator/denominator not exposed in excerpt; use as tagged influence parameter, not hard validation."
grantRate_noCertStageAmicus_paidNonOSG,U.S. Supreme Court,OT2005,0.0218,0.0218,0.0218,"2.18% (30/1,379)",granted non-SG paid petitions with zero amicus briefs supporting cert,all non-SG paid petitions with zero support briefs,High,proxy_context,non-SG paid petitions only,single-term-snapshot,Lazarus,https://static1.squarespace.com/static/60188505fb790b33c3d33a61/t/604aec44caad69337e3c7751/1615522885567/courses.RobertsCourtLazarus.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Strong one-term benchmark; do not generalize as universal law.
grantRate_anyCertStageAmicus_paidNonOSG,U.S. Supreme Court,OT2005,0.194,0.194,0.194,19.4% (28/144),granted non-SG paid petitions with at least one amicus brief supporting cert,all such petitions,High,proxy_context,non-SG paid petitions only,single-term-snapshot,Lazarus,https://static1.squarespace.com/static/60188505fb790b33c3d33a61/t/604aec44caad69337e3c7751/1615522885567/courses.RobertsCourtLazarus.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Excellent salience proxy; preserve single-term and non-SG scope.
