fieldName,fieldGroup,type,requiredFor,validationUse,simulatorMetric,currentStatus,currentEvidence,sourceSlice,nextCodingAction,completionGate,manuscriptUse
sourceKey,provenance,string,all,required,all,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `sourceKey` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",,retain `sourceKey` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
sourceRecordId,provenance,string,all,required,all,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `sourceRecordId` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",,retain `sourceRecordId` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
sourceUrl,provenance,url,all,required,all,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `sourceUrl` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",,retain `sourceUrl` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
term,case_identity,string,all,required,all,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `term` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",,retain `term` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
docketNumber,case_identity,string,cert_petition_denominator;cert_cfr_response;cert_cvsg_signal,recommended,certiorariAdmissionRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `docketNumber` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `docketNumber` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
petitionFiledDate,case_identity,date,cert_petition_denominator,recommended,certiorariPathRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `petitionFiledDate` is populated for 4221/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset,retain `petitionFiledDate` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
petitionType,petition_attributes,categorical,cert_petition_denominator,required,certiorariPathRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `petitionType` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset,retain `petitionType` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
paidOrIfp,petition_attributes,categorical,cert_petition_denominator;cert_cfr_response,required,paidCertPetitionShare; ifpCertPetitionShare,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `paidOrIfp` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term,retain `paidOrIfp` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
petitionerType,petition_attributes,categorical,cert_petition_denominator;cert_elite_counsel,recommended,barCapital; repeatPlayerAdvantage,closed_docketed_cohort_partial,The closed OT2023 docketed cohort populates `petitionerType` for 936/4222 all-docket rows and 747/4033 certiorari rows; this field remains partial even though the paid/IFP and certiorari denominators are closed,OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; Feldman-Kappner filtered elite-counsel rows and Lazarus OT2005 non-SG amicus rows as bounded proxy slices,"complete or validate the remaining `petitionerType` rows without changing the closed 4,222-docket denominator","closed petition cohort separates paid and IFP filing, disposition, grant, and set-for-argument status; counsel and amicus signals are coded without reducing the denominator to only high-success attorney subsets",bounded field coverage inside a closed docketed-intake cohort; not complete field-level validation
respondentType,petition_attributes,categorical,cert_cfr_response;cert_cvsg_signal,required,solicitorGeneralSignalRate,closed_docketed_cohort_partial,The closed OT2023 docketed cohort populates `respondentType` for 751/4222 all-docket rows and 747/4033 certiorari rows; this field remains partial even though the paid/IFP and certiorari denominators are closed,OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,"complete or validate the remaining `respondentType` rows without changing the closed 4,222-docket denominator","each petition has paid/IFP status, response status, CFR flag or date, respondent category, and disposition; CVSG request, SG recommendation, Court follow-through, and disposition are coded on a known petition denominator",bounded field coverage inside a closed docketed-intake cohort; not complete field-level validation
