metricKey,jurisdiction,timePeriod,lowerBound,upperBound,observedValue,rawObservedValue,numeratorSpec,denominatorSpec,confidenceLevel,validationUse,coverageScope,comparabilityClass,sourceName,sourceUrl,rawSection,reportName,notes
scotus_totalFilings,United States,2024 Term,3856,3856,3856,3856,cases filed in the Supreme Court,all Supreme Court filings in the 2024 Term,High,strict_validation,apex court docket,official annual statistic; cross-system limited,2025 Year-End Report,SCOTUS 2025 Year-End Report (turn29view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Term measure; not identical to petitions-only counts in other systems.
scotus_arguedCases,United States,2024 Term,73,73,73,73,cases argued,all Supreme Court filings in the 2024 Term,High,loose_calibration,apex merits docket,official annual statistic; cross-system limited,2025 Year-End Report,SCOTUS 2025 Year-End Report (turn29view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Good anchor for size of merits docket, not direct grant rate."
scotus_docketedCases,United States,2023 Term,4223,4223,4223,4223,total cases docketed during term,all Supreme Court matters docketed in the 2023 Term,High,strict_validation,apex court docket,official journal statistic; cross-system limited,"Journal statistics as of July 2, 2024",SCOTUS Journal Jnl23 (turn29view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Includes paid, in forma pauperis, and original matters."
scotus_plenaryReviewGrants,United States,2023 Term,69,69,69,69,total cases granted plenary review,all matters docketed in the 2023 Term,High,loose_calibration,apex merits-entry gate,official journal statistic; cross-system limited,"Journal statistics as of July 2, 2024",SCOTUS Journal Jnl23 (turn29view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Includes 66 paid cert grants, 3 IFP cert grants, 0 appeals granted; denominator is all docketed matters, so use cautiously as a “grant share.”"
france_qpc_referralsTotal,France,2010-03-01 to 2024-12-31,1128,1128,1128,1128,QPC referrals sent to the Constitutional Council,all QPC referrals in period,High,strict_validation,national constitutional review channel,official cumulative statistic; within-jurisdiction strong,QPC statistical bulletin,QPC statistical bulletin (turn22view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Measures filtered constitutional referrals only, not all constitutional claims raised in ordinary courts."
france_qpc_referralsFromConseilEtat,France,2010-03-01 to 2024-12-31,501,501,501,501,referrals originating in Conseil d’État,all QPC referrals in period (1128),High,strict_validation,referral-gatekeeper composition,official cumulative statistic; within-jurisdiction strong,QPC statistical bulletin,QPC statistical bulletin (turn22view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Complementary Cour de cassation referrals are 627; good for modeling dual-gatekeeper routing.
france_qpc_decisionsTotal,France,2010-03-01 to 2024-12-31,1011,1011,1011,1011,QPC decisions rendered by Constitutional Council,all QPC decisions in period,High,strict_validation,national constitutional review channel,official cumulative statistic; cross-system limited,QPC statistical bulletin,QPC statistical bulletin (turn22view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Mixes merits and procedural outcomes; not comparable to raw filing totals in complaint-heavy systems.
spain_amparo_newCases,Spain,2024,9796,9796,9796,9796,new amparo appeals filed,all new matters filed in Spanish Constitutional Court in 2024,High,strict_validation,constitutional complaint channel,official annual statistic; cross-system limited,Memoria 2024,Spain Constitutional Court Memoria 2024 (turn12view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Report states amparo made up 99.24% of new matters.
spain_amparo_admissionRate,Spain,2024,0.0225,0.0225,0.0225,2.25%,208 admissions opening merits path,9250 admissibility decisions in amparo,High,strict_validation,constitutional complaint filter,official annual process rate; within-jurisdiction strong,Memoria 2024,Spain Constitutional Court Memoria 2024 (turn12view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Denominator is admissibility decisions, not all new filings; strong filter anchor."
spain_amparo_fromSupremeCourtShare,Spain,2024,0.6252,0.6252,0.6252,62.52%,6125 amparo appeals originating from Supreme Court judgments,9796 new amparo appeals,High,loose_calibration,lower-court origin mix,official annual process statistic; within-jurisdiction strong,Memoria 2024,Spain Constitutional Court Memoria 2024 (turn12view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Useful for modeling upstream-court sourcing.
italy_totalDecisions,Italy,2024,212,212,212,212,Constitutional Court decisions delivered,all Constitutional Court decisions in 2024,High,strict_validation,constitutional court output,official annual statistic; cross-system limited,Report on activities in 2024,Italy Report on activities in 2024 (turn26view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Includes different procedural families.
italy_incidentalDecisions,Italy,2024,138,138,138,138,decisions in incidental proceedings,all Constitutional Court decisions in 2024 (212),High,strict_validation,concrete-referral channel,official annual statistic; cross-system limited,Report on activities in 2024,Italy Report on activities in 2024 (turn26view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Strong anchor for referral-docket prominence.
italy_incidentalReferralOrders,Italy,2024,248,248,248,248,referral orders submitted for incidental review,all referral orders in 2024,High,strict_validation,input to concrete-referral channel,official annual statistic; within-jurisdiction strong,Report on activities in 2024,Italy Report on activities in 2024 (turn26view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Best observed input flow for incidental review in a classic Kelsenian system.
