metricFamily,metric,sourceMetric,simulatorDenominatorOrScale,sourceDenominatorOrScale,empiricalUse,denominatorCompatibility,manuscriptInterpretation
certiorari,paidCertPetitionShare,paidPetitionShare,paid plus IFP certiorari-path petitions in the generated filed universe,all docketed paid and IFP matters in official term flow,loose_calibration,near_pathway_match,"conditional paid/IFP split is closer than all-case paidPetitionRate, but the simulator still excludes many non-review docketed matters"
certiorari,ifpCertPetitionShare,ifpPetitionShare,paid plus IFP certiorari-path petitions in the generated filed universe,all docketed paid and IFP matters in official term flow,loose_calibration,near_pathway_match,"conditional paid/IFP split is closer than all-case ifpPetitionRate, but the simulator still excludes many non-review docketed matters"
certiorari,paidCfrRequestRate,cfrRate_paid,paid certiorari-path petitions,paid petitions or paid cert-stage subset described by source,loose_calibration,near_pathway_match,"stage is modeled explicitly, but the source rows are term-flow summaries rather than closed petition cohorts"
certiorari,ifpCfrRequestRate,cfrRate_ifp,IFP certiorari-path petitions,IFP petitions or IFP cert-stage subset described by source,loose_calibration,near_pathway_match,"stage is modeled explicitly, but the source rows are term-flow summaries rather than closed petition cohorts"
certiorari,cvsgRequestRate,cvsgFrequency,all generated filed matters,petitions receiving CVSG per year in historical study period,proxy_context,count_rate_mismatch,"the source is a count-per-year anchor, so the simulator rate is only a low-frequency transition diagnostic"
certiorari,certiorariAdmissionRate,us_scotus_plenaryReviewRate_allDocketed,generated certiorari-path filings,all Supreme Court docketed matters,proxy_context,denominator_mismatch,the source includes all docketed matters; the simulator denominator is already a constitutional-review cert-path subset
certiorari,genuineLowerCourtSplitRate,genuineConflictAmongAlleged_rate,all generated filed matters,petitions alleging lower-court conflict in a historical coded sample,proxy_context,denominator_mismatch,"useful for alleged-versus-genuine split logic, not as a whole-docket split prevalence target"
certiorari,specialistCounselRate,us_certStageAmicus_formerClerk_predicted,all generated filed matters,cert-stage amicus/counsel study subset,proxy_context,mechanism_proxy,"the source is an effect-size/access signal, not a direct rate of specialist counsel in all filings"
emergency,emergencyStayDocketRate,emergencyStayDocketRate,all generated filed matters,parsed Journal orders or emergency application universe described by source,proxy_context,denominator_mismatch,presence in a synthetic filed universe is not the same denominator as Journal-order emergency applications
emergency,emergencyOrderRate,emergencyOrderRate,all generated filed matters,emergency relief applications/orders in source summaries,loose_calibration,near_pathway_match,kept as a broad bounded-frequency check rather than a strict application denominator
emergency,emergencyGrantConditionalRate,noncapitalGrantRate_overall,simulated emergency orders,"all noncapital emergency applications, excluding specified related dismissals",loose_calibration,conditional_near_match,"conditional rate is closer than all-case emergencyGrantRate, but the simulated emergency universe is not limited to noncapital applications"
emergency,reasonedEmergencyOrderRate,noncapitalDissentRate_any,all generated filed matters,noncapital emergency applications with any public dissent/disagreement,proxy_context,mechanism_proxy,"public disagreement is a visibility proxy, not the same as written reasoning"
emergency,meritsAccelerationPerEmergencyStayDocket,noncapitalGrantRate_noLinkedMerits,simulated emergency stay dockets,noncapital emergency applications without linked merits review,proxy_context,mechanism_proxy,"the source helps flag weak merits follow-through, but it is not a direct acceleration rate"
emergency,emergencyDownstreamEffect,presidentialEmergencyApplications_peak,mean synthetic downstream-effect score,peak historical count/trend context,proxy_context,scale_mismatch,"trend context supports mechanism direction, not a numeric rate target"
complaint_referral,admissionRate,spain_amparo_admission_rate,all generated filed matters across all access paths,Spain amparo admissibility decisions,proxy_context,denominator_mismatch,this is a strong complaint-filter source but not a whole-universe admission target
complaint_referral,publicInterestFilteredRate,spain_amparo_admissionRate,all generated filed matters across all access paths,Spain amparo admissibility decisions,proxy_context,denominator_mismatch,"comparative complaint filter supports the mechanism, but the simulator metric is not complaint-only"
complaint_referral,constitutionalRemandRate,fr_qpc_delayedEffectRate_decidedQPC,all generated filed matters,decided QPC cases with delayed effect,proxy_context,mechanism_proxy,"QPC delayed effect informs remand/remedy design, not a whole-docket remand prevalence"
complaint_referral,meritsTransferRate,france_qpc_decisions,all generated filed matters,annual count of French QPC decisions,proxy_context,count_rate_mismatch,count context cannot validate a simulated transfer rate without a filing denominator
lower_court_compliance,lowerCourtCompliance,districtCourtAlignmentShockSameDirectionPP,mean synthetic lower-court compliance score,estimated same-direction percentage-point alignment shock,proxy_context,mechanism_proxy,"the source anchors direction and magnitude of alignment pressure, not a compliance-level target"
lower_court_compliance,lowerCourtResistanceRisk,echrEnforcementDomesticJudgmentsThemeShare,mean synthetic resistance-risk score,theme share in enforcement/domestic-judgment material,proxy_context,mechanism_proxy,theme shares justify a resistance channel but do not validate a numeric resistance score
lower_court_compliance,governmentNoncomplianceRate,federalAgencyNarrowComplianceShare,all generated filed matters,agency implementation cases with narrow compliance in study sample,loose_calibration,mechanism_proxy,"closest available implementation anchor, but still a study-sample proxy rather than a court-wide noncompliance rate"
lower_court_compliance,interbranchCompliance,costaRicaOrdersTrackedShare,mean synthetic interbranch-compliance score,share of Costa Rica orders tracked by monitoring system,proxy_context,mechanism_proxy,"monitoring coverage is institutional capacity context, not realized interbranch compliance"
override_remand,overrideAttemptRate,invalidationRate,all generated filed matters,decisions declaring law unconstitutional,proxy_context,mechanism_proxy,"invalidation creates override opportunity, but it is not an override-attempt rate"
override_remand,overrideRate,canada_override_duration_years,all generated filed matters,design duration of override effect in years,design_prior,design_prior,"duration informs institutional design, not observed behavioral override success"
