sourceName,sourceUrl,files,reports,sections,rowCount,validationUses,confidenceLevels,comparabilityClasses
19th Annual Report of the Committee of Ministers on supervision of execution,Council of Europe annual report 2025 (turn15view0),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,Validation and calibration rows,4,loose_calibration;proxy_context;strict_validation,High;Medium,"official duration backlog measure;official execution count;official execution throughput count;related mechanism, thematic share"
2023 annual report/history snippet,Federal Constitutional Court annual report 2023 (turn14search3),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,1,proxy_context,Medium,official annual-report/history snippet
2024 Year-End Report on the Federal Judiciary,Official year-end report (turn4search4),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,"Proxy, context, and design-prior rows",3,proxy_context,High,official activity count;system-capacity proxy
2024 annual report snippet,Federal Constitutional Court annual report 2024 (turn28search15),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,1,proxy_context,Medium,official annual-report snippet; cross-system limited
2025 Year-End Report,SCOTUS 2025 Year-End Report (turn29view0),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,2,loose_calibration;strict_validation,High,official annual statistic; cross-system limited
Assessment of the Impact of Decisions of the Constitutional Court and Supreme Court of Appeal on the Transformation of Society,Department of Justice impact report (turn3search20),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,"Proxy, context, and design-prior rows",1,proxy_context,Medium,official case-study coverage
Beim & Rader,https://campuspress.yale.edu/beim/files/2011/10/Beim_Rader_Conflicts-xxkfk0.pdf,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Certiorari calibration targets,4,loose_calibration;proxy_context,High;Medium,sampled-conflict-lifecycle
Beim & Rader summarizing Epstein/Martin/Segal,https://campuspress.yale.edu/beim/files/2011/10/Beim_Rader_Conflicts-xxkfk0.pdf,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Certiorari calibration targets,2,proxy_context,Medium,historical-secondary-quote
Constitution Act 1982 / Charter s.33,Justice Laws Constitution Act 1982 (turn35search9),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,1,design_prior,High,official constitutional rule
"Constitution of the Fifth Republic, Article 61",Élysée Constitution text (turn37view0),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,2,design_prior,High,official constitutional rule
Court and Its Procedures,SCOTUS procedures page (turn42view0),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,1,design_prior,Medium,official process statement; not annual statistic
Derived from ECtHR 2024 stats and QPC360,ECHR Analysis of Statistics 2024 (turn28search0) and QPC360 La QPC en chiffres (turn31search5),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Synthetic modeling priors derived from the empirical record,1,design_prior,Moderate,synthetic_from_empirics
Derived from Liu & Kastellec,Former clerks study PDF (turn17search20),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Synthetic modeling priors derived from the empirical record,1,design_prior,Moderate,synthetic_from_empirics
Derived from McGuire 1995,McGuire 1995 PDF (turn15search17),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Synthetic modeling priors derived from the empirical record,1,design_prior,Moderate,synthetic_from_empirics
Derived from Sutton & Jones,Harvard Law Review Forum essay PDF (turn12search21),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Synthetic modeling priors derived from the empirical record,1,design_prior,Moderate,synthetic_from_empirics
Derived from official Supreme Court Journals,Jnl23 PDF (turn0search3) and Jnl24 PDF (turn0search0),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Synthetic modeling priors derived from the empirical record,1,design_prior,Moderate,synthetic_from_empirics
